"","region","electores","percent_participacion","votos_emitidos","votos_validos","organizacion_politica","tipo_organizacion_politica","votos","percent_votos","year","vuelta"
"42","AMAZONAS",225853,0.81267,183543,150634,"MOVIMIENTO INDEPENDIENTE SURGE AMAZONAS","MOVIMIENTO REGIONAL",27938,0.18547,"2010","1"
"43","AMAZONAS",225853,0.81267,183543,150634,"MOVIMIENTO REGIONAL FUERZA AMAZONENSE","MOVIMIENTO REGIONAL",22942,0.1523,"2010","1"
"44","AMAZONAS",225853,0.81267,183543,150634,"MOVIMIENTO REGIONAL AMAZONENSE UNIDOS AL CAMPO","MOVIMIENTO REGIONAL",18863,0.12522,"2010","1"
"45","AMAZONAS",225853,0.81267,183543,150634,"UNIDAD Y DEMOCRACIA DE AMAZONAS","MOVIMIENTO REGIONAL",15844,0.10518,"2010","1"
"46","AMAZONAS",225853,0.81267,183543,150634,"PARTIDO APRISTA PERUANO","PARTIDO POLÍTICO",9441,0.06268,"2010","1"
"47","AMAZONAS",225853,0.81267,183543,150634,"MOVIMIENTO DE INTEGRACION REGIONAL AMAZONICO","MOVIMIENTO REGIONAL",7160,0.04753,"2010","1"
"48","AMAZONAS",225853,0.81267,183543,150634,"ACCION POPULAR","PARTIDO POLÍTICO",6536,0.04339,"2010","1"
"49","AMAZONAS",225853,0.81267,183543,150634,"VOTOS EN BLANCO",NA,21646,NA,"2010","1"
"50","AMAZONAS",225853,0.81267,183543,150634,"VOTOS NULOS",NA,11263,NA,"2010","1"
"51","ANCASH",726897,0.86203,626605,459678,"MOVIMIENTO REGIONAL INDEPENDIENTE CUENTA CONMIGO","MOVIMIENTO REGIONAL",150104,0.32654,"2010","1"
"52","ANCASH",726897,0.86203,626605,459678,"MOVIMIENTO ACCION NACIONALISTA PERUANO","MOVIMIENTO REGIONAL",60518,0.13165,"2010","1"
"53","ANCASH",726897,0.86203,626605,459678,"ALIANZA PARA EL PROGRESO","PARTIDO POLÍTICO",42885,0.09329,"2010","1"
"54","ANCASH",726897,0.86203,626605,459678,"PARTIDO APRISTA PERUANO","PARTIDO POLÍTICO",39246,0.08538,"2010","1"
"55","ANCASH",726897,0.86203,626605,459678,"MOVIMIENTO INDEPENDIENTE REGIONAL PURO ANCASH","MOVIMIENTO REGIONAL",30051,0.06537,"2010","1"
"56","ANCASH",726897,0.86203,626605,459678,"MOVIMIENTO INDEPENDIENTE REGIONAL RIO SANTA CAUDALOSO","MOVIMIENTO REGIONAL",28609,0.06224,"2010","1"
"57","ANCASH",726897,0.86203,626605,459678,"PERU POSIBLE","PARTIDO POLÍTICO",19413,0.04223,"2010","1"
"58","ANCASH",726897,0.86203,626605,459678,"PARTIDO DEMOCRATICO SOMOS PERU","PARTIDO POLÍTICO",15306,0.0333,"2010","1"
"59","ANCASH",726897,0.86203,626605,459678,"FUERZA 2011","PARTIDO POLÍTICO",15088,0.03282,"2010","1"
"60","ANCASH",726897,0.86203,626605,459678,"UNION POR EL PERU","PARTIDO POLÍTICO",14596,0.03175,"2010","1"
"61","ANCASH",726897,0.86203,626605,459678,"MOVIMIENTO INDEPENDIENTE NUEVO DESTINO","MOVIMIENTO REGIONAL",8250,0.01795,"2010","1"
"62","ANCASH",726897,0.86203,626605,459678,"RESTAURACION NACIONAL","PARTIDO POLÍTICO",6892,0.01499,"2010","1"
"63","ANCASH",726897,0.86203,626605,459678,"MOVIMIENTO NUEVA IZQUIERDA","PARTIDO POLÍTICO",6317,0.01374,"2010","1"
"64","ANCASH",726897,0.86203,626605,459678,"ANCASH DIGNIDAD","MOVIMIENTO REGIONAL",5608,0.0122,"2010","1"
"65","ANCASH",726897,0.86203,626605,459678,"MOVIMIENTO INDEPENDIENTE REGIONAL UNIDOS POR ANCASH","MOVIMIENTO REGIONAL",4678,0.01018,"2010","1"
"66","ANCASH",726897,0.86203,626605,459678,"ACCION POPULAR","PARTIDO POLÍTICO",3837,0.00835,"2010","1"
"67","ANCASH",726897,0.86203,626605,459678,"SIEMPRE UNIDOS","PARTIDO POLÍTICO",3625,0.00789,"2010","1"
"68","ANCASH",726897,0.86203,626605,459678,"TODOS POR EL PERU","PARTIDO POLÍTICO",2675,0.00582,"2010","1"
"69","ANCASH",726897,0.86203,626605,459678,"PARTICIPACION POPULAR","PARTIDO POLÍTICO",1980,0.00431,"2010","1"
"70","ANCASH",726897,0.86203,626605,459678,"VOTOS EN BLANCO",NA,89736,NA,"2010","1"
"71","ANCASH",726897,0.86203,626605,459678,"VOTOS NULOS",NA,77191,NA,"2010","1"
"72","APURIMAC",239470,0.83491,199936,153300,"PODER POPULAR ANDINO","MOVIMIENTO REGIONAL",50625,0.33023,"2010","1"
"73","APURIMAC",239470,0.83491,199936,153300,"MOVIMIENTO POPULAR KALLPA","MOVIMIENTO REGIONAL",33659,0.21956,"2010","1"
"74","APURIMAC",239470,0.83491,199936,153300,"PARTIDO APRISTA PERUANO","PARTIDO POLÍTICO",18535,0.12091,"2010","1"
"75","APURIMAC",239470,0.83491,199936,153300,"ALIANZA PARA EL PROGRESO","PARTIDO POLÍTICO",11169,0.07286,"2010","1"
"76","APURIMAC",239470,0.83491,199936,153300,"FRENTE POPULAR LLAPANCHIK","MOVIMIENTO REGIONAL",10492,0.06844,"2010","1"
"77","APURIMAC",239470,0.83491,199936,153300,"MOVIMIENTO DE INTEGRACION KECHWA APURIMAC","MOVIMIENTO REGIONAL",10097,0.06586,"2010","1"
"78","APURIMAC",239470,0.83491,199936,153300,"MOVIMIENTO MACROREGIONAL TODAS LAS SANGRES - APURIMAC","MOVIMIENTO REGIONAL",6677,0.04356,"2010","1"
"79","APURIMAC",239470,0.83491,199936,153300,"MOVIMIENTO ETNOCACERISTA REGIONAL AMA SUA, AMA LLULLA, AMA QUELLA","MOVIMIENTO REGIONAL",5026,0.03279,"2010","1"
"80","APURIMAC",239470,0.83491,199936,153300,"MOVIMIENTO NUEVA IZQUIERDA","PARTIDO POLÍTICO",3912,0.02552,"2010","1"
"81","APURIMAC",239470,0.83491,199936,153300,"KAYPI PROGRESO","MOVIMIENTO REGIONAL",2405,0.01569,"2010","1"
"82","APURIMAC",239470,0.83491,199936,153300,"PERU POSIBLE","PARTIDO POLÍTICO",703,0.00459,"2010","1"
"83","APURIMAC",239470,0.83491,199936,153300,"VOTOS EN BLANCO",NA,28132,NA,"2010","1"
"84","APURIMAC",239470,0.83491,199936,153300,"VOTOS NULOS",NA,18504,NA,"2010","1"
"85","AREQUIPA",879176,0.88432,777473,644465,"ALIANZA POR AREQUIPA","ALIANZA ELECTORAL",203302,0.31546,"2010","1"
"86","AREQUIPA",879176,0.88432,777473,644465,"FUERZA AREQUIPEÑA","MOVIMIENTO REGIONAL",139616,0.21664,"2010","1"
"87","AREQUIPA",879176,0.88432,777473,644465,"AREQUIPA RENACE","MOVIMIENTO REGIONAL",126660,0.19654,"2010","1"
"88","AREQUIPA",879176,0.88432,777473,644465,"JUNTOS POR EL SUR","MOVIMIENTO REGIONAL",39685,0.06158,"2010","1"
"89","AREQUIPA",879176,0.88432,777473,644465,"FRENTE DE MOVILIZACION SOCIAL","MOVIMIENTO REGIONAL",18483,0.02868,"2010","1"
"90","AREQUIPA",879176,0.88432,777473,644465,"PARTIDO APRISTA PERUANO","PARTIDO POLÍTICO",18151,0.02816,"2010","1"
"91","AREQUIPA",879176,0.88432,777473,644465,"AREQUIPA PRIMERO","MOVIMIENTO REGIONAL",17971,0.02789,"2010","1"
"92","AREQUIPA",879176,0.88432,777473,644465,"DECIDE","MOVIMIENTO REGIONAL",16667,0.02586,"2010","1"
"93","AREQUIPA",879176,0.88432,777473,644465,"MOVIMIENTO INDEPENDIENTE LEON DEL SUR","MOVIMIENTO REGIONAL",12969,0.02012,"2010","1"
"94","AREQUIPA",879176,0.88432,777473,644465,"ALIANZA PARA EL PROGRESO","PARTIDO POLÍTICO",9017,0.01399,"2010","1"
"95","AREQUIPA",879176,0.88432,777473,644465,"MOVIMIENTO ETNOCACERISTA AREQUIPA","MOVIMIENTO REGIONAL",7827,0.01214,"2010","1"
"96","AREQUIPA",879176,0.88432,777473,644465,"RESTAURACION NACIONAL","PARTIDO POLÍTICO",6406,0.00994,"2010","1"
"97","AREQUIPA",879176,0.88432,777473,644465,"PARTIDO POPULAR CRISTIANO - PPC","PARTIDO POLÍTICO",5365,0.00832,"2010","1"
"98","AREQUIPA",879176,0.88432,777473,644465,"UNION POR EL PERU","PARTIDO POLÍTICO",5208,0.00808,"2010","1"
"99","AREQUIPA",879176,0.88432,777473,644465,"PERU POSIBLE","PARTIDO POLÍTICO",5165,0.00801,"2010","1"
"100","AREQUIPA",879176,0.88432,777473,644465,"MOVIMIENTO NUEVA IZQUIERDA","PARTIDO POLÍTICO",4855,0.00753,"2010","1"
"101","AREQUIPA",879176,0.88432,777473,644465,"PARTIDO DEMOCRATICO SOMOS PERU","PARTIDO POLÍTICO",4176,0.00648,"2010","1"
"102","AREQUIPA",879176,0.88432,777473,644465,"AGRUPACION INDEPENDIENTE SI CUMPLE","PARTIDO POLÍTICO",2942,0.00457,"2010","1"
"103","AREQUIPA",879176,0.88432,777473,644465,"VOTOS EN BLANCO",NA,77724,NA,"2010","1"
"104","AREQUIPA",879176,0.88432,777473,644465,"VOTOS NULOS",NA,55284,NA,"2010","1"
"105","AYACUCHO",362985,0.83169,301890,239711,"MOVIMIENTO INDEPENDIENTE REGIONAL TODOS CON AYACUCHO","MOVIMIENTO REGIONAL",71268,0.29731,"2010","1"
"106","AYACUCHO",362985,0.83169,301890,239711,"ALIANZA PARA EL PROGRESO","PARTIDO POLÍTICO",62466,0.26059,"2010","1"
"107","AYACUCHO",362985,0.83169,301890,239711,"QATUN TARPUY","MOVIMIENTO REGIONAL",32288,0.1347,"2010","1"
"108","AYACUCHO",362985,0.83169,301890,239711,"FRENTE REGIONAL TUNA","ALIANZA ELECTORAL",16311,0.06804,"2010","1"
"109","AYACUCHO",362985,0.83169,301890,239711,"MOVIMIENTO INDEPENDIENTE INNOVACION REGIONAL","MOVIMIENTO REGIONAL",15488,0.06461,"2010","1"
"110","AYACUCHO",362985,0.83169,301890,239711,"MUSUQ ÑAN","MOVIMIENTO REGIONAL",13322,0.05558,"2010","1"
"111","AYACUCHO",362985,0.83169,301890,239711,"UNIDOS POR EL DESARROLLO DE AYACUCHO","MOVIMIENTO REGIONAL",11040,0.04606,"2010","1"
"112","AYACUCHO",362985,0.83169,301890,239711,"JUNTOS SI SE PUEDE","MOVIMIENTO REGIONAL",7758,0.03236,"2010","1"
"113","AYACUCHO",362985,0.83169,301890,239711,"PARTIDO APRISTA PERUANO","PARTIDO POLÍTICO",5654,0.02359,"2010","1"
"114","AYACUCHO",362985,0.83169,301890,239711,"RESTAURACION NACIONAL","PARTIDO POLÍTICO",4116,0.01717,"2010","1"
"115","AYACUCHO",362985,0.83169,301890,239711,"MOVIMIENTO DE IDENTIDAD REGIONAL DE AYACUCHO","MOVIMIENTO REGIONAL",0,0,"2010","1"
"116","AYACUCHO",362985,0.83169,301890,239711,"VOTOS EN BLANCO",NA,34252,NA,"2010","1"
"117","AYACUCHO",362985,0.83169,301890,239711,"VOTOS NULOS",NA,27927,NA,"2010","1"
"118","CAJAMARCA",874695,0.85225,745457,519090,"MOVIMIENTO DE AFIRMACION  SOCIAL","ALIANZA ELECTORAL",159660,0.30758,"2010","1"
"119","CAJAMARCA",874695,0.85225,745457,519090,"MOVIMIENTO REGIONAL FUERZA SOCIAL CAJAMARCA","MOVIMIENTO REGIONAL",66430,0.12797,"2010","1"
"120","CAJAMARCA",874695,0.85225,745457,519090,"FRENTE REGIONAL DE CAJAMARCA","MOVIMIENTO REGIONAL",63838,0.12298,"2010","1"
"121","CAJAMARCA",874695,0.85225,745457,519090,"PARTIDO APRISTA PERUANO","PARTIDO POLÍTICO",44953,0.0866,"2010","1"
"122","CAJAMARCA",874695,0.85225,745457,519090,"ALIANZA CAJAMARCA SIEMPRE VERDE - FUERZA 2011","ALIANZA ELECTORAL",42356,0.0816,"2010","1"
"123","CAJAMARCA",874695,0.85225,745457,519090,"ALIANZA PARA EL PROGRESO","PARTIDO POLÍTICO",33714,0.06495,"2010","1"
"124","CAJAMARCA",874695,0.85225,745457,519090,"PERU POSIBLE","PARTIDO POLÍTICO",29890,0.05758,"2010","1"
"125","CAJAMARCA",874695,0.85225,745457,519090,"ACCION POPULAR","PARTIDO POLÍTICO",27614,0.0532,"2010","1"
"126","CAJAMARCA",874695,0.85225,745457,519090,"TIERRA Y LIBERTAD","MOVIMIENTO REGIONAL",22473,0.04329,"2010","1"
"127","CAJAMARCA",874695,0.85225,745457,519090,"EL AGRO A LA REGION","MOVIMIENTO REGIONAL",16094,0.031,"2010","1"
"128","CAJAMARCA",874695,0.85225,745457,519090,"UNION POR EL PERU","PARTIDO POLÍTICO",12068,0.02325,"2010","1"
"129","CAJAMARCA",874695,0.85225,745457,519090,"VOTOS EN BLANCO",NA,127964,NA,"2010","1"
"130","CAJAMARCA",874695,0.85225,745457,519090,"VOTOS NULOS",NA,98403,NA,"2010","1"
"131","CUSCO",763669,0.8548,652786,512078,"GRAN ALIANZA NACIONALISTA CUSCO","ALIANZA ELECTORAL",170873,0.33369,"2010","1"
"132","CUSCO",763669,0.8548,652786,512078,"MOVIMIENTO REGIONAL PAN","MOVIMIENTO REGIONAL",131692,0.25717,"2010","1"
"133","CUSCO",763669,0.8548,652786,512078,"RESTAURACION NACIONAL","PARTIDO POLÍTICO",45987,0.0898,"2010","1"
"134","CUSCO",763669,0.8548,652786,512078,"MOVIMIENTO REGIONAL ACUERDO POPULAR UNIFICADO","MOVIMIENTO REGIONAL",37471,0.07317,"2010","1"
"135","CUSCO",763669,0.8548,652786,512078,"AUTOGOBIERNO AYLLU","MOVIMIENTO REGIONAL",22374,0.04369,"2010","1"
"136","CUSCO",763669,0.8548,652786,512078,"TIERRA Y LIBERTAD CUSCO","MOVIMIENTO REGIONAL",22271,0.04349,"2010","1"
"137","CUSCO",763669,0.8548,652786,512078,"PERU POSIBLE","PARTIDO POLÍTICO",20451,0.03994,"2010","1"
"138","CUSCO",763669,0.8548,652786,512078,"UNION POR EL PERU","PARTIDO POLÍTICO",17315,0.03381,"2010","1"
"139","CUSCO",763669,0.8548,652786,512078,"FUERZA 2011","PARTIDO POLÍTICO",16312,0.03185,"2010","1"
"140","CUSCO",763669,0.8548,652786,512078,"PARTIDO DEMOCRATICO SOMOS PERU","PARTIDO POLÍTICO",16074,0.03139,"2010","1"
"141","CUSCO",763669,0.8548,652786,512078,"PARTIDO APRISTA PERUANO","PARTIDO POLÍTICO",11258,0.02198,"2010","1"
"142","CUSCO",763669,0.8548,652786,512078,"VOTOS EN BLANCO",NA,87924,NA,"2010","1"
"143","CUSCO",763669,0.8548,652786,512078,"VOTOS NULOS",NA,52784,NA,"2010","1"
"144","HUANCAVELICA",249077,0.85411,212740,171065,"MOVIMIENTO INDEPENDIENTE TRABAJANDO PARA TODOS","MOVIMIENTO REGIONAL",52156,0.30489,"2010","1"
"145","HUANCAVELICA",249077,0.85411,212740,171065,"MOVIMIENTO REGIONAL AYNI","MOVIMIENTO REGIONAL",38073,0.22256,"2010","1"
"146","HUANCAVELICA",249077,0.85411,212740,171065,"MOVIMIENTO INDEPENDIENTE REGIONAL UNIDOS POR HUANCAVELICA","MOVIMIENTO REGIONAL",30497,0.17828,"2010","1"
"147","HUANCAVELICA",249077,0.85411,212740,171065,"PROYECTO INTEGRACIONISTA DE COMUNIDADES ORGANIZADAS","MOVIMIENTO REGIONAL",24728,0.14455,"2010","1"
"148","HUANCAVELICA",249077,0.85411,212740,171065,"MOVIMIENTO INDEPENDIENTE DE CAMPESINOS Y PROFESIONALES","MOVIMIENTO REGIONAL",15676,0.09164,"2010","1"
"149","HUANCAVELICA",249077,0.85411,212740,171065,"PARTIDO APRISTA PERUANO","PARTIDO POLÍTICO",2993,0.0175,"2010","1"
"150","HUANCAVELICA",249077,0.85411,212740,171065,"ACCION POPULAR","PARTIDO POLÍTICO",2954,0.01727,"2010","1"
"151","HUANCAVELICA",249077,0.85411,212740,171065,"PARTIDO POPULAR CRISTIANO - PPC","PARTIDO POLÍTICO",2184,0.01277,"2010","1"
"152","HUANCAVELICA",249077,0.85411,212740,171065,"FONAVISTAS DEL PERU","PARTIDO POLÍTICO",1804,0.01055,"2010","1"
"153","HUANCAVELICA",249077,0.85411,212740,171065,"VOTOS EN BLANCO",NA,27770,NA,"2010","1"
"154","HUANCAVELICA",249077,0.85411,212740,171065,"VOTOS NULOS",NA,13905,NA,"2010","1"
"155","HUANUCO",437387,0.82679,361626,276768,"PARTIDO DEMOCRATICO SOMOS PERU","PARTIDO POLÍTICO",81072,0.29292,"2010","1"
"156","HUANUCO",437387,0.82679,361626,276768,"MOVIMIENTO POLITICO HECHOS Y NO PALABRAS","MOVIMIENTO REGIONAL",70975,0.25644,"2010","1"
"157","HUANUCO",437387,0.82679,361626,276768,"MOVIMIENTO INDEPENDIENTE REGIONAL LUCHEMOS POR HUANUCO","MOVIMIENTO REGIONAL",33325,0.12041,"2010","1"
"158","HUANUCO",437387,0.82679,361626,276768,"AUTENTICO REGIONAL","MOVIMIENTO REGIONAL",30681,0.11085,"2010","1"
"159","HUANUCO",437387,0.82679,361626,276768,"ACCION POPULAR","PARTIDO POLÍTICO",21397,0.07731,"2010","1"
"160","HUANUCO",437387,0.82679,361626,276768,"FRENTE AMPLIO REGIONAL","MOVIMIENTO REGIONAL",16722,0.06042,"2010","1"
"161","HUANUCO",437387,0.82679,361626,276768,"PARTIDO APRISTA PERUANO","PARTIDO POLÍTICO",15773,0.05699,"2010","1"
"162","HUANUCO",437387,0.82679,361626,276768,"ALIANZA PARA EL PROGRESO","PARTIDO POLÍTICO",6823,0.02465,"2010","1"
"163","HUANUCO",437387,0.82679,361626,276768,"VOTOS EN BLANCO",NA,52582,NA,"2010","1"
"164","HUANUCO",437387,0.82679,361626,276768,"VOTOS NULOS",NA,32276,NA,"2010","1"
"165","ICA",510139,0.89386,455991,370481,"FRENTE REGIONAL PROGRESISTA IQUEÑO","MOVIMIENTO REGIONAL",78312,0.21138,"2010","1"
"166","ICA",510139,0.89386,455991,370481,"FUERZA 2011","PARTIDO POLÍTICO",77366,0.20883,"2010","1"
"167","ICA",510139,0.89386,455991,370481,"PARTIDO REGIONAL DE INTEGRACION","MOVIMIENTO REGIONAL",63016,0.17009,"2010","1"
"168","ICA",510139,0.89386,455991,370481,"CAMBIO RADICAL","PARTIDO POLÍTICO",48299,0.13037,"2010","1"
"169","ICA",510139,0.89386,455991,370481,"PARTIDO APRISTA PERUANO","PARTIDO POLÍTICO",26869,0.07252,"2010","1"
"170","ICA",510139,0.89386,455991,370481,"ALIANZA REGIONAL INDEPENDIENTE","MOVIMIENTO REGIONAL",15111,0.04079,"2010","1"
"171","ICA",510139,0.89386,455991,370481,"UNION POR EL PERU","PARTIDO POLÍTICO",12989,0.03506,"2010","1"
"172","ICA",510139,0.89386,455991,370481,"FRENTE SOCIAL REGIONAL DE ICA","MOVIMIENTO REGIONAL",10437,0.02817,"2010","1"
"173","ICA",510139,0.89386,455991,370481,"ALIANZA UNIDAD REGIONAL","ALIANZA ELECTORAL",10271,0.02772,"2010","1"
"174","ICA",510139,0.89386,455991,370481,"ACCION POPULAR","PARTIDO POLÍTICO",7721,0.02084,"2010","1"
"175","ICA",510139,0.89386,455991,370481,"FONAVISTAS DEL PERU","PARTIDO POLÍTICO",6148,0.01659,"2010","1"
"176","ICA",510139,0.89386,455991,370481,"ALIANZA PARA EL PROGRESO","PARTIDO POLÍTICO",4314,0.01164,"2010","1"
"177","ICA",510139,0.89386,455991,370481,"UNION REGIONAL TRANSPARENTE","MOVIMIENTO REGIONAL",3863,0.01043,"2010","1"
"178","ICA",510139,0.89386,455991,370481,"PARTIDO DEMOCRATICO SOMOS PERU","PARTIDO POLÍTICO",3147,0.00849,"2010","1"
"179","ICA",510139,0.89386,455991,370481,"MOVIMIENTO ETNOCACERISTA REGIONAL IQUEÑO","MOVIMIENTO REGIONAL",2618,0.00707,"2010","1"
"180","ICA",510139,0.89386,455991,370481,"VOTOS EN BLANCO",NA,45307,NA,"2010","1"
"181","ICA",510139,0.89386,455991,370481,"VOTOS NULOS",NA,40203,NA,"2010","1"
"182","JUNIN",774714,0.83085,643675,517490,"MOVIMIENTO POLITICO REGIONAL PERU LIBRE","MOVIMIENTO REGIONAL",172979,0.33427,"2010","1"
"183","JUNIN",774714,0.83085,643675,517490,"FUERZA 2011","PARTIDO POLÍTICO",73357,0.14176,"2010","1"
"184","JUNIN",774714,0.83085,643675,517490,"MOVIMIENTO INDEPENDIENTE FUERZA CONSTRUCTORA","MOVIMIENTO REGIONAL",54399,0.10512,"2010","1"
"185","JUNIN",774714,0.83085,643675,517490,"CONVERGENCIA REGIONAL DESCENTRALISTA","MOVIMIENTO REGIONAL",46151,0.08918,"2010","1"
"186","JUNIN",774714,0.83085,643675,517490,"ALIANZA REGIONAL JUNIN SOSTENIBLE","ALIANZA ELECTORAL",33260,0.06427,"2010","1"
"187","JUNIN",774714,0.83085,643675,517490,"PARTIDO APRISTA PERUANO","PARTIDO POLÍTICO",31337,0.06056,"2010","1"
"188","JUNIN",774714,0.83085,643675,517490,"BLOQUE POPULAR JUNIN","MOVIMIENTO REGIONAL",23593,0.04559,"2010","1"
"189","JUNIN",774714,0.83085,643675,517490,"ACCION POPULAR","PARTIDO POLÍTICO",23431,0.04528,"2010","1"
"190","JUNIN",774714,0.83085,643675,517490,"MOVIMIENTO INDEPENDIENTE REGIONAL LA CARITA FELIZ","MOVIMIENTO REGIONAL",15538,0.03003,"2010","1"
"191","JUNIN",774714,0.83085,643675,517490,"ALIANZA PARA EL PROGRESO","PARTIDO POLÍTICO",14620,0.02825,"2010","1"
"192","JUNIN",774714,0.83085,643675,517490,"MOVIMIENTO INDEPENDIENTE UNIDOS POR JUNIN, SIERRA Y SELVA","MOVIMIENTO REGIONAL",11839,0.02288,"2010","1"
"193","JUNIN",774714,0.83085,643675,517490,"PERU POSIBLE","PARTIDO POLÍTICO",8489,0.0164,"2010","1"
